piece,mean,std,u,std_mult
BACK HANDLE TOP,4.8000,9.6931,54,5.0
BACK SLASH POCKET INTERIOR PATCH,2.4000,2.5473,16,5.0
BACK SNAP PATCH,1.0000,1.4907,9,5.0
BACK WRAP SNAP,9.4000,15.7212,89,5.0
BOTTOM,5.4000,10.8341,60,5.0
FLAP FACING SNAP PATCH,2.0000,3.3333,19,5.0
FLAP TOP,4.3000,3.7727,24,5.0
FLAP TOP BIDNING,3.4000,4.7422,28,5.0
FRONT HANDLE TOP,7.2000,10.5704,61,5.0
FRONT RIGHT ANCHOR TOP,0.3000,0.6749,4,5.0
FRONT WRAP SNAP,14.5000,24.2453,136,5.0
GUSSET,12.1000,10.3220,64,5.0
GUSSET LEFT RIGHT ANCHOR,0.2000,0.4216,3,5.0
HANDLE LEFT FACING,10.4000,11.0775,66,5.0
HANDLE RIGHT FACING,10.9000,9.9270,61,5.0
HANGTAG FACING,1.3000,3.7727,21,5.0
HANGTAG TOP,1.4000,4.0879,22,5.0
LONG SS MOOR KEEPER,2.3000,2.4060,15,5.0
SHORT SS D RING ANCHOR,3.5000,2.5055,17,5.0
SS ANCHOR,0.0000,0.0000,0,5.0
SS FLOATING SOLID GLUE FILLER,4.3000,5.3759,32,5.0
