leather_id,BACK HANDLE TOP,BACK SLASH POCKET INTERIOR PATCH,BACK SNAP PATCH,BACK WRAP SNAP,BOTTOM,FLAP FACING SNAP PATCH,FLAP TOP,FLAP TOP BIDNING,FRONT HANDLE TOP,FRONT RIGHT ANCHOR TOP,FRONT WRAP SNAP,GUSSET,GUSSET LEFT RIGHT ANCHOR,HANDLE LEFT FACING,HANDLE RIGHT FACING,HANGTAG FACING,HANGTAG TOP,LONG SS MOOR KEEPER,SHORT SS D RING ANCHOR,SS ANCHOR,SS FLOATING SOLID GLUE FILLER
N09169693,0,1,0,46,0,0,9,1,5,0,65,5,0,20,20,0,0,0,1,0,0
N09169697,0,0,0,0,3,0,7,3,10,0,0,14,0,35,27,0,0,2,7,0,6
N09169699,1,3,2,0,2,7,5,3,2,0,0,18,0,0,0,0,0,7,4,0,16
N09169717,1,4,0,0,3,0,9,3,0,0,0,10,0,13,19,0,0,1,5,0,1
N09169719,0,0,0,0,3,0,3,0,1,0,0,27,0,12,14,0,0,0,5,0,1
N09169721,0,2,0,0,1,0,0,0,6,0,0,31,0,14,18,0,0,2,1,0,5
N09169723,1,1,3,0,36,9,0,0,7,0,0,6,0,0,0,0,0,6,6,0,11
N09169725,28,6,4,20,0,3,0,5,36,0,20,0,1,0,0,0,0,3,0,0,2
N09169727,17,7,1,4,2,1,2,16,2,1,8,4,1,4,4,1,1,1,1,0,1
N09169729,0,0,0,24,4,0,8,3,3,2,52,6,0,6,7,12,13,1,5,0,0
