file,leather_id,total_mm2,Q1_pct,Q2_pct,Q3_pct,Q4_pct,Q5_pct,Q1_mm2,Q2_mm2,Q3_mm2,Q4_mm2,Q5_mm2,Q1_used_mm2,Q2_used_mm2,Q3_used_mm2,Q4_used_mm2,Q5_used_mm2
1. N0696153.png,1. N0696153,,0.00,0.00,75.00,0.00,25.00,,,,,,0.0,0.0,0.0,0.0,1.0
10. N0696171.png,10. N0696171,,0.00,0.00,3.13,96.77,0.10,,,,,,0.0,0.0,0.0,0.0,1.0
11. N0696173.png,11. N0696173,,0.00,0.00,0.01,99.98,0.01,,,,,,0.0,0.0,0.0,0.0,9.5
12. N0696175.png,12. N0696175,,0.00,0.00,0.00,99.99,0.01,,,,,,0.0,0.0,0.0,0.0,9.0
13. N0696177.png,13. N0696177,,0.00,0.00,0.01,99.98,0.01,,,,,,0.0,0.0,0.0,0.0,8.0
14. N0696179.png,14. N0696179,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
14. N09169717.png,14. N09169717,,1.19,0.00,14.94,80.41,3.46,,,,,,5.5,0.0,0.0,0.0,13.5
15. N0696181.png,15. N0696181,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
15. N09169719.png,15. N09169719,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
16. N0696183.png,16. N0696183,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
16. N09169721.png,16. N09169721,,0.00,0.00,0.10,99.74,0.16,,,,,,0.0,0.0,1.0,0.0,0.0
17. N0696185.png,17. N0696185,,0.01,0.00,0.00,99.99,0.00,,,,,,8.0,0.0,0.0,0.0,0.0
17. N09169723.png,17. N09169723,,0.00,0.00,93.05,2.95,4.00,,,,,,0.0,0.0,0.0,0.0,18.0
18. N0696187.png,18. N0696187,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
18. N09169725.png,18. N09169725,,0.00,0.00,7.93,0.00,92.07,,,,,,0.0,0.0,0.0,0.0,592.5
19. N0696189.png,19. N0696189,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
19. N09169727.png,19. N09169727,,0.00,0.00,0.00,0.00,100.00,,,,,,0.0,0.0,0.0,0.0,4.0
2. N0696155.png,2. N0696155,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
2. N09169693.png,2. N09169693,,13.11,0.00,0.00,0.00,86.89,,,,,,8.0,0.0,0.0,0.0,45.5
20. N0696191.png,20. N0696191,,0.00,0.00,0.00,0.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
20. N09169729.png,20. N09169729,,0.00,0.00,7.24,86.60,6.17,,,,,,0.0,0.0,0.0,0.0,11.5
3. N0696157.png,3. N0696157,,0.00,0.00,0.00,0.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
4. N0696159.png,4. N0696159,,0.00,0.00,0.01,99.98,0.01,,,,,,0.0,0.0,0.0,0.0,5.5
4. N09169697.png,4. N09169697,,0.00,0.00,33.33,33.33,33.33,,,,,,0.0,0.0,0.0,0.0,0.5
5. N0696161.png,5. N0696161,,0.00,0.00,0.15,99.84,0.01,,,,,,0.0,0.0,0.0,0.0,1.5
5. N09169699.png,5. N09169699,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
6. N0696163.png,6. N0696163,,0.00,0.00,0.00,100.00,0.00,,,,,,1.0,0.0,0.0,0.0,1.0
7. N0696165.png,7. N0696165,,0.00,0.00,0.00,99.98,0.02,,,,,,0.0,0.0,0.0,0.0,14.0
8. N0696167.png,8. N0696167,,0.00,0.00,0.00,100.00,0.00,,,,,,1.0,0.0,0.0,0.0,0.0
9. N0696169.png,9. N0696169,,0.00,0.00,0.00,100.00,0.00,,,,,,0.0,0.0,0.0,0.0,0.0
