leather,total_px,Q1_px,Q2_px,Q3_px,Q4_px,Q5_px
1. N0696153,4,0,0,3,0,1
10. N0696171,960,0,0,30,928,1
11. N0696173,154664,0,0,14,154638,12
12. N0696175,96962,0,0,0,96952,10
13. N0696177,62306,0,0,4,62292,9
14. N0696179,109142,0,0,0,109142,0
14. N09169717,462,6,0,69,372,16
15. N0696181,60308,0,0,2,60306,0
15. N09169719,291,0,0,0,291,0
16. N0696183,53866,0,0,0,53866,0
16. N09169721,954,0,0,1,952,2
17. N0696185,75984,8,0,0,75976,0
17. N09169723,526,0,0,489,16,21
18. N0696187,89224,0,0,0,89224,0
18. N09169725,650,0,0,52,0,598
19. N0696189,22864,0,0,0,22864,0
19. N09169727,5,0,0,0,0,5
2. N0696155,114765,0,0,0,114765,0
2. N09169693,61,8,0,0,0,53
20. N0696191,0,0,0,0,0,0
20. N09169729,186,0,0,14,162,12
3. N0696157,0,0,0,0,0,0
4. N0696159,42748,0,0,3,42740,6
4. N09169697,3,0,0,1,1,1
5. N0696161,25275,0,0,39,25234,2
5. N09169699,164,0,0,0,164,0
6. N0696163,77631,1,0,0,77629,1
7. N0696165,60100,0,0,0,60086,14
8. N0696167,132240,1,0,0,132239,0
9. N0696169,57526,0,0,1,57524,0
